valor,criptomoeda,moeda,timestamp
109400.455,BTC,USD,2025-09-27T11:06:34.323089
109381.435,BTC,USD,2025-09-27T11:26:09.352644
109380.075,BTC,USD,2025-09-27T11:26:23.157913
109371.355,BTC,USD,2025-09-27T11:28:08.559896
109371.355,BTC,USD,2025-09-27T11:29:09.212980
109380.11,BTC,USD,2025-09-27T11:30:09.596774
109371.355,BTC,USD,2025-09-27T11:31:09.975439
109374.665,BTC,USD,2025-09-27T11:32:10.347917
109378.595,BTC,USD,2025-09-27T11:33:10.662699
109378.285,BTC,USD,2025-09-27T11:34:11.077446
109399.245,BTC,USD,2025-09-27T11:35:11.698671
109391.385,BTC,USD,2025-09-27T11:36:12.077699
109391.495,BTC,USD,2025-09-27T11:37:12.425262
109394.1,BTC,USD,2025-09-27T11:38:13.057432
109378.315,BTC,USD,2025-09-27T11:39:13.399679
109378.415,BTC,USD,2025-09-27T11:40:13.771523
